"Country","Subject Descriptor","Units","Scale","Country/Series-specific Notes","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","Estimates Start After"
"Lesotho","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","2.202","2.206","2.424","2.472","2.323","2.092","2.445","2.275","2.213","2.309","2.404","2023"
"Liberia","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","3.092","3.256","3.321","3.264","3.08","3.037","3.509","3.974","4.39","4.818","5.166","2023"
"Libya","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","48.718","49.913","67.153","76.682","69.237","46.893","35.216","43.281","43.958","42.159","47.484","2022"
"Lithuania","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","41.548","42.952","47.745","54.294","55.132","57.352","67.068","71.082","79.824","84.847","89.192","2024"
"Luxembourg","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","60.078","62.2","65.689","71.118","69.88","73.612","86.444","80.865","87.599","93.169","96.613","2023"
"Macao SAR","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","45.048","45.071","50.384","55.191","55.082","25.344","30.969","24.998","45.802","50.182","53.354","2024"
"Madagascar","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","11.323","11.849","13.176","13.76","14.105","13.051","14.355","15.326","15.87","17.42","18.708","2022"
"Malawi","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","9.014","7.733","8.943","9.882","11.031","11.847","12.475","12.531","13.439","11.797","13.959","2022"
"Malaysia","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","301.355","301.256","319.109","358.783","365.178","337.456","373.785","407.605","399.705","419.617","444.984","2024"
"Maldives","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","4.118","4.398","4.809","5.398","5.716","3.706","5.242","6.168","6.581","7.019","7.48","2023"
"Mali","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","13.106","14.022","15.36","17.079","17.281","17.491","19.32","19.319","21.184","22.724","23.208","2023"
"Malta","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","11.342","12.022","14.156","16.161","16.34","16.397","19.737","19.254","22.217","24.315","25.75","2024"
"Marshall Islands","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","0.184","0.202","0.214","0.22","0.233","0.242","0.259","0.253","0.259","0.28","0.297","2023"
"Mauritania","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","6.182","6.414","6.826","7.472","7.894","8.464","9.126","9.564","10.649","10.697","11.47","2023"
"Mauritius","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","12.007","12.594","13.714","14.736","14.436","11.408","11.484","12.908","14.101","14.953","15.495","2023"
"Mexico","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","1,213.294","1,112.233","1,190.721","1,256.300","1,304.106","1,121.065","1,316.569","1,466.465","1,793.799","1,852.723","1,692.640","2024"
"Micronesia","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","0.312","0.327","0.361","0.394","0.395","0.373","0.392","0.416","0.444","0.471","0.5","2022"
"Moldova","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","7.778","7.981","9.515","11.252","11.737","11.53","13.694","14.493","16.751","18.126","19.462","2023"
"Mongolia","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","11.62","11.154","11.481","13.207","14.206","13.313","15.286","17.146","20.315","23.586","25.804","2024"
"Montenegro","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","4.055","4.376","4.855","5.509","5.543","4.777","5.865","6.243","7.532","8.023","8.562","2023"
"Morocco","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","110.414","111.573","118.541","127.341","128.92","121.354","142.022","130.952","144.438","155.35","165.835","2023"
"Mozambique","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","16.209","12.069","13.265","15.017","15.513","14.235","16.168","18.884","20.954","21.944","23.771","2023"
"Myanmar","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","57.338","58.808","60.285","67.051","82.568","65.631","58.264","61.723","61.466","61.176","64.944","2021"
"Namibia","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","11.45","10.719","12.883","13.676","12.539","10.583","12.399","12.564","12.402","13.37","14.214","2024"
"Nauru","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","0.076","0.1","0.109","0.131","0.125","0.125","0.176","0.152","0.152","0.161","0.169","2021"
"Nepal","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","24.361","24.524","28.972","33.112","34.186","33.434","36.927","41.183","40.907","43.419","46.08","2023"
"Netherlands","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","775.822","796.944","847.934","930.155","929.006","931.814","1,055.173","1,047.364","1,154.694","1,227.174","1,272.011","2024"
"New Zealand","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","176.455","186.081","203.819","209.747","210.995","210.541","249.775","245.203","253.436","257.728","248.666","2024"
"Nicaragua","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","12.757","13.286","13.786","13.025","12.713","12.73","14.208","15.634","17.82","19.71","21.155","2023"
"Niger","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","9.684","10.35","11.181","12.814","12.917","13.764","14.923","15.458","16.809","19.866","21.874","2022"
"Nigeria","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","494.307","405.019","375.756","421.739","474.517","432.299","441.074","476.468","363.816","187.64","188.271","2024"
"North Macedonia","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","10.067","10.686","11.336","12.694","12.609","12.385","14.008","13.957","15.772","16.679","17.885","2024"
"Norway","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","388.16","370.957","401.745","439.789","408.743","367.633","503.368","596.298","482.95","483.727","504.276","2024"
"Oman","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","78.711","75.129","80.857","91.506","88.061","75.909","87.324","109.853","105.896","106.943","104.351","2024"
"Pakistan","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","299.93","313.623","339.229","356.163","321.071","300.41","348.481","374.85","337.754","373.078","n/a","2024"
"Palau","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","0.283","0.303","0.29","0.288","0.282","0.259","0.236","0.248","0.275","0.306","0.333","2023"
"Panama","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","56.062","60.017","64.468","67.294","69.722","57.087","67.407","76.523","83.382","87.688","91.675","2024"
"Papua New Guinea","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","21.723","20.759","22.743","24.11","24.751","23.848","26.113","31.653","30.729","31.654","32.835","2022"
"Paraguay","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","36.211","36.09","38.997","40.225","37.925","35.432","39.951","41.953","43.118","43.989","45.465","2023"
"Peru","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","192.85","196.348","216.578","227.583","233.004","206.461","226.268","244.419","267.482","289.07","303.293","2024"
"Philippines","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","306.446","318.627","328.481","346.842","376.823","361.751","394.087","404.353","437.055","461.617","497.495","2024"
"Poland","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","479.729","472.883","528.497","594.641","602.592","605.93","689.253","695.734","809.706","908.583","979.96","2024"
"Portugal","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","199.059","206.249","220.785","242.203","240.142","229.435","256.226","257.101","289.781","308.59","321.44","2024"
"Puerto Rico","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","103.376","104.337","103.446","100.958","105.126","103.131","106.427","113.567","117.902","120.978","122.522","2023"
"Qatar","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","161.74","151.732","161.099","183.335","176.371","144.411","179.732","235.709","213.003","221.452","222.776","2023"
"Romania","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","177.878","185.337","210.53","243.651","251.652","252.372","286.783","296.928","350.847","384.148","403.395","2024"
"Russia","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","1,356.703","1,280.648","1,575.140","1,653.005","1,695.724","1,488.118","1,828.927","2,295.527","2,059.762","2,161.205","2,076.396","2024"
"Rwanda","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","8.546","8.695","9.253","9.638","10.349","10.174","11.066","13.313","14.331","14.251","14.771","2023"
"Samoa","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","0.824","0.844","0.885","0.878","0.913","0.869","0.844","0.833","0.938","1.068","1.16","2024"
"San Marino","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","1.42","1.468","1.528","1.656","1.616","1.543","1.857","1.833","2.003","2.063","2.047","2022"
"","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","0.262","0.294","0.325","0.387","0.416","0.476","0.529","0.546","0.684","0.796","0.864","2023"
"Saudi Arabia","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","669.485","666","714.994","846.584","838.565","734.271","874.157","1,108.571","1,067.583","1,085.358","1,083.749","2024"
"Senegal","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","17.777","19.035","20.989","23.127","23.405","24.534","27.584","27.75","30.625","32.892","34.728","2022"
"Serbia","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","41.297","42.225","45.973","52.788","53.865","55.874","65.83","66.798","81.343","89.074","92.549","2024"
"Seychelles","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","1.432","1.568","1.675","1.777","1.867","1.384","1.49","2.018","2.187","2.168","2.198","2023"
"Sierra Leone","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","6.75","6.038","5.823","6.39","6.519","6.682","7.165","7.119","6.397","7.653","8.386","2024"
"Singapore","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","307.999","319.646","343.673","377.124","376.162","349.166","436.591","509.018","505.44","547.387","564.774","2024"
"Slovak Republic","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","89.188","90.322","95.944","106.66","105.855","107.646","120.672","116.02","132.947","140.636","147.031","2024"
"Slovenia","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","42.714","44.279","48.136","53.713","53.916","53.342","61.57","59.975","69.168","72.463","75.224","2024"
"Solomon Islands","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","1.308","1.379","1.47","1.615","1.619","1.536","1.523","1.566","1.661","1.777","1.898","2022"
"Somalia","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","6.841","7.391","8.252","7.873","8.655","8.628","9.484","10.203","10.969","12.134","12.994","2022"
"South Africa","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","346.663","323.493","381.317","405.093","389.245","337.876","420.778","406.755","380.592","400.191","410.338","2023"
"South Sudan","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","15.326","2.419","1.302","2.687","4.044","5.423","5.94","8.037","7.186","5.423","3.998","2024"
"Spain","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","1,206.287","1,242.673","1,321.288","1,432.292","1,403.651","1,288.751","1,462.216","1,447.636","1,620.558","1,722.227","1,799.511","2024"
"Sri Lanka","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","85.091","88","94.376","94.484","89.015","84.304","88.609","74.584","83.723","98.964","n/a","2022"
"St. Kitts and Nevis","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","0.957","1.007","1.058","1.076","1.107","0.884","0.859","0.981","1.056","1.117","1.129","2023"
"St. Lucia","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","1.808","1.869","1.999","2.061","2.095","1.499","1.867","2.343","2.43","2.523","2.632","2022"
"St. Vincent and the Grenadines","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","0.786","0.814","0.844","0.884","0.91","0.864","0.888","0.97","1.071","1.162","1.242","2022"
"Sudan","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","64.534","64.888","48.906","33.59","31.484","35.237","35.142","33.517","36.998","28.27","31.506","2019"
"Suriname","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","5.126","3.317","3.592","3.996","4.016","2.912","3.084","3.631","3.445","4.458","4.506","2023"
"Sweden","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","501.698","514.218","536.084","551.312","532.169","545.148","637.187","579.896","585.49","610.118","620.297","2024"
"Switzerland","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","693.805","687.771","695.544","725.91","721.867","741.288","814.699","828.522","894.867","936.738","947.125","2024"
"Syria","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","2010"
"Taiwan Province of China","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","534.515","543.081","591.687","610.69","613.512","676.861","776.965","765.624","757.335","782.441","804.889","2024"
"Tajikistan","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","7.857","6.994","7.535","7.762","8.301","8.134","8.934","10.493","11.854","13.544","14.836","2023"
"Tanzania","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","47.424","49.774","54","54.775","58.797","63.373","67.964","74.173","79.138","80.171","85.977","2023"
"Thailand","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","401.296","413.366","456.357","506.754","543.977","500.462","506.195","495.645","515.906","526.411","546.224","2024"
"Timor-Leste","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","1.59","1.64","1.585","1.556","2.033","2.163","3.625","3.209","2.08","2.015","2.115","2023"
"Togo","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","5.756","6.069","6.385","7.033","6.993","7.4","8.338","8.144","9.081","9.776","10.023","2024"
"Tonga","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","0.438","0.421","0.46","0.481","0.494","0.503","0.52","0.515","0.512","0.539","0.568","2023"
"Trinidad and Tobago","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","26.841","23.624","23.848","23.889","23.588","20.991","24.177","28.51","25.489","25.524","26.467","2023"
"Tunisia","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","45.779","44.36","42.167","42.687","41.905","42.494","46.813","44.596","48.541","53.063","56.291","2023"
"","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","867.054","869.204","859.02","797.707","760.388","717.114","807.893","905.8","1,130.062","1,322.405","1,437.406","2024"
"Turkmenistan","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","44.944","42.876","45.902","49.299","53.035","52.385","60.934","77.963","77.876","82.515","89.054","2022"
"Tuvalu","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","0.037","0.041","0.045","0.048","0.054","0.052","0.062","0.061","0.063","0.065","0.065","2023"
"Uganda","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","30.122","30.232","31.589","34.126","37.895","37.889","42.805","47.276","51.934","56.453","64.277","2023"
"Ukraine","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","90.922","93.349","112.064","130.905","153.904","156.566","199.835","161.987","178.763","190.426","205.742","2023"
"United Arab Emirates","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","370.276","369.255","390.517","427.049","417.99","349.473","415.179","502.732","514.13","537.079","548.598","2023"
"United Kingdom","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","2,928.558","2,699.086","2,682.384","2,875.024","2,853.074","2,698.705","3,144.079","3,125.404","3,371.118","3,644.636","3,839.180","2024"
"United States","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","18,295.000","18,804.900","19,612.100","20,656.525","21,539.975","21,354.125","23,681.175","26,006.900","27,720.725","29,184.900","30,507.217","2024"
"Uruguay","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","58.218","57.58","65.068","65.37","62.229","53.557","60.742","70.6","77.997","80.961","79.731","2024"
"Uzbekistan","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","85.662","85.658","69.703","58.696","67.294","66.443","77.34","90.125","102.634","114.962","132.484","2024"
"Vanuatu","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","0.774","0.798","0.88","0.928","0.93","1.008","0.921","1.072","1.158","1.206","1.267","2022"
"Venezuela","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","125.449","112.915","115.883","102.021","73.014","42.838","56.615","89.013","102.377","119.808","108.511","2018"
"Vietnam","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","236.795","252.146","277.071","304.47","331.818","346.31","370.076","411.068","433.008","459.472","490.97","2024"
"West Bank and Gaza","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","13.972","15.405","16.128","16.277","17.134","15.532","18.109","19.166","17.848","n/a","n/a","2023"
"Yemen","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","42.444","31.318","26.842","21.606","21.888","20.22","19.394","23.534","19.412","19.101","17.401","2022"
"Zambia","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","21.245","20.965","25.874","26.312","23.309","18.138","22.096","29.164","27.578","26.326","28.91","2022"
"Zimbabwe","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","19.963","20.549","22.04","36.922","26.033","26.878","36.016","32.613","35.144","35.224","38.172","2023"
